question,Smooth_Bleu_Score,question_types,specific_field
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.090494685462202,['Directed question that has a single unambiguous answer'],Oncology
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.0935643124894143,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario', 'Request for opinion on a topic']",Oncology
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.0691409964138363,['Summarization of information on a topic'],Oncology
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.0519503468314413,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Oncology
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.0183820781817799,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",General Physician
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.1085818048527871,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",General Physician
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.069707829971335,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']",General Physician
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.0934155538648234,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General Physician
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.0356238488639255,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",General Physician
What are the main signs of Langerhans cell histiocytosis in children?,0.0070348438766627,['Directed question that has a single unambiguous answer'],Pediatrics
What's the part of the brain related with short term memory?,0.0750024552790583,['Directed question that has a single unambiguous answer'],Clinical Psychologist
According to Freud what is called the most primitive part of the brain?,0.0741821056790898,['Directed question that has a single unambiguous answer'],Clinical Psychologist
Name 3 types of therapies for a patient.,0.0256927580598837,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']",Clinical Psychologist
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.0027449177037395,['Question that describes a hypothetical scenario and asks a question based on this scenario'],midwifery
What is a bacteria?,0.1077879301341943,['Directed question that has a single unambiguous answer'],Biomedical technologist
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.1545181756163421,['Directed question that has a single unambiguous answer'],Biomedical technologist
What diseases are caused by pathogenic bacteria?,0.0367815037806145,['Request for a list of resources where one can find more information'],Biomedical technologist
Which type of hearing loss do you expect an ex miner to have?,0.0072392669509062,['Open-ended question that is potentially ambiguous'],Audiologist
Can patients with unilateral hearing loss benefit from cochlear implant?,0.1497277324249351,['Open-ended question that is potentially ambiguous'],Audiologist
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.024039134645954,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Audiologist
"With blood having different types of cells, why do you think blood is red?",0.0665550955319678,['Open-ended question that is potentially ambiguous'],Nursing
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.0464432444850169,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Nursing
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.0919221775379496,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Casualty Nurse
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.0409765981864756,['Directed question that has a single unambiguous answer'],Intensive Care
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.0173742559442195,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Intensive Care
What is your opinion for Advanced Nurses Practitioner In ICU?,0.0329652624320304,['Request for opinion on a topic'],Intensive Care
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.12567835575909,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']","Biomedical Research, Nursing"
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.0717143496767361,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']","Biomedical Research, Nursing"
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.0415223970655047,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']","Biomedical Research, Nursing"
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.1548434544123777,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Generalist physician
What findings could be appear on the RxTx of the previous patient?,0.1210528974974056,['Open-ended question that is potentially ambiguous'],Generalist physician
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.0297029968364944,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Generalist physician
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.081232430528777,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Research scientist
