Question,Smooth_Bleu_Score
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.08036338708183045
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.1137142443853916
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.10405525071577891
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.07870402598224256
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.02138971350202612
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.055123926429897434
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.017280615180161864
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.035677041677758
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.13622177233834604
What are the main signs of Langerhans cell histiocytosis in children?,0.00858149350613237
What's the part of the brain related with short term memory?,0.24757563942389468
According to Freud what is called the most primitive part of the brain?,0.2370427931217437
Name 3 types of therapies for a patient.,0.02195636335494088
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.008068838428120449
What is a bacteria?,0.024298578965749273
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.2172788717583645
What diseases are caused by pathogenic bacteria?,0.07397746343820068
Which type of hearing loss do you expect an ex miner to have?,0.00654141612150541
Can patients with unilateral hearing loss benefit from cochlear implant?,0.10510418465241066
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.06119714371866035
"With blood having different types of cells, why do you think blood is red?",0.12765972294871242
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.1687693612579435
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.053940367326258086
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.0077216773664702
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.01726463371554338
What is your opinion for Advanced Nurses Practitioner In ICU?,0.08322072289909709
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.1269416135293371
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.10619395002322489
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.04374854121682858
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.21063704410961812
What findings could be appear on the RxTx of the previous patient?,0.0037313879451315833
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.023681350634016347
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.054844012617906966
What is the sexually transmitted disease HPV?,0.016691785829565375
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.0631116009228945
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.008524208049610177
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.057620718883602935
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.043118306468487175
What are the most encountered barriers in clinical research related to Bioethics?,0.11980371475792331
