Key,BERTScore,Question Type
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.631664514541626,['Directed question that has a single unambiguous answer']
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.6339131593704224,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario', 'Request for opinion on a topic']"
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.6461909413337708,['Summarization of information on a topic']
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.6027668714523315,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.5827765464782715,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.6402255296707153,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']"
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.611168622970581,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']"
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.5899823307991028,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.6187660694122314,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What are the main signs of Langerhans cell histiocytosis in children?,0.496845006942749,['Directed question that has a single unambiguous answer']
What's the part of the brain related with short term memory?,0.6469871997833252,['Directed question that has a single unambiguous answer']
According to Freud what is called the most primitive part of the brain?,0.5922350883483887,['Directed question that has a single unambiguous answer']
Name 3 types of therapies for a patient.,0.478113055229187,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']"
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.5197392702102661,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is a bacteria?,0.6271727085113525,['Directed question that has a single unambiguous answer']
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.6650241017341614,['Directed question that has a single unambiguous answer']
What diseases are caused by pathogenic bacteria?,0.5969750285148621,['Request for a list of resources where one can find more information']
Which type of hearing loss do you expect an ex miner to have?,0.5295243263244629,['Open-ended question that is potentially ambiguous']
Can patients with unilateral hearing loss benefit from cochlear implant?,0.6105737686157227,['Open-ended question that is potentially ambiguous']
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.4706987738609314,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"With blood having different types of cells, why do you think blood is red?",0.7145944237709045,['Open-ended question that is potentially ambiguous']
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.5579233765602112,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.6351228356361389,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.4330509603023529,['Directed question that has a single unambiguous answer']
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.5486971139907837,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is your opinion for Advanced Nurses Practitioner In ICU?,0.6470159292221069,['Request for opinion on a topic']
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.6278761029243469,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
