Key,Cosine Similarity,Question Type
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.26980910267600977,['Directed question that has a single unambiguous answer']
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.5248338182439356,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario', 'Request for opinion on a topic']"
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.39632112771081124,['Summarization of information on a topic']
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.5599383050131743,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.20327758636089865,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.5910305756883308,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']"
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.3651017796705617,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']"
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.39451474265602393,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.3985595673649947,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What are the main signs of Langerhans cell histiocytosis in children?,0.3207372216632179,['Directed question that has a single unambiguous answer']
What's the part of the brain related with short term memory?,0.6412141765522893,['Directed question that has a single unambiguous answer']
According to Freud what is called the most primitive part of the brain?,0.6196555320888879,['Directed question that has a single unambiguous answer']
Name 3 types of therapies for a patient.,0.3593316008592887,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']"
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.1343640277838685,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is a bacteria?,0.4073002388049478,['Directed question that has a single unambiguous answer']
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.7170682014426335,['Directed question that has a single unambiguous answer']
What diseases are caused by pathogenic bacteria?,0.22565223391191694,['Request for a list of resources where one can find more information']
Which type of hearing loss do you expect an ex miner to have?,0.398226026392822,['Open-ended question that is potentially ambiguous']
Can patients with unilateral hearing loss benefit from cochlear implant?,0.29600439159311975,['Open-ended question that is potentially ambiguous']
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.32556454878938157,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"With blood having different types of cells, why do you think blood is red?",0.5671839809149269,['Open-ended question that is potentially ambiguous']
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.5210881584961071,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.48026766254413267,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.4309463578323971,['Directed question that has a single unambiguous answer']
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.553484939332064,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is your opinion for Advanced Nurses Practitioner In ICU?,0.6044651574910175,['Request for opinion on a topic']
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.5196540727605556,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.695174363853162,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.5483425493738737,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.6917089281692013,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What findings could be appear on the RxTx of the previous patient?,0.31502600006428993,['Open-ended question that is potentially ambiguous']
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.352673196471201,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.42418020181972144,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the sexually transmitted disease HPV?,0.5282179329609163,['Summarization of information on a topic']
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.5599831007316227,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.6344420292263246,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.2386721905312288,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']"
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.5272474490360081,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What are the most encountered barriers in clinical research related to Bioethics?,0.5318505360732826,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.3661207986144506,['Directed question that has a single unambiguous answer']
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.2656005571423355,['Request for a list of resources where one can find more information']
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.4533504328688644,['Directed question that has a single unambiguous answer']
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.5776707186453254,['Open-ended question that is potentially ambiguous']
What sign is observed in the barium esophagram in patients with achalasia?,0.6347183709655562,['Directed question that has a single unambiguous answer']
What are the cardinal symptoms of laryngotracheitis?,0.4521032626978082,['Summarization of information on a topic']
What is the contraception method of election when a woman can't take estrogen?,0.2697625485351528,['Open-ended question that is potentially ambiguous']
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.1578595767777159,['Question that describes a hypothetical scenario and asks a question based on this scenario']
