Key,Cosine Similarity,Question Type,Specific Field
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.43596410489836784,['Directed question that has a single unambiguous answer'],Oncology
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.5714376442816115,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario', 'Request for opinion on a topic']",Oncology
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.5961536873195085,['Summarization of information on a topic'],Oncology
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.6128596122155281,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Oncology
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.3220394964290628,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",General Physician
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.6180583758745092,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",General Physician
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.4854184281465984,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']",General Physician
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.550311493753405,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General Physician
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.49202186688371785,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",General Physician
What are the main signs of Langerhans cell histiocytosis in children?,0.4021391890897142,['Directed question that has a single unambiguous answer'],Pediatrics
What's the part of the brain related with short term memory?,0.7451796720545665,['Directed question that has a single unambiguous answer'],Clinical Psychologist
According to Freud what is called the most primitive part of the brain?,0.6872183985796507,['Directed question that has a single unambiguous answer'],Clinical Psychologist
