Key,Cosine Similarity,Question Type,Specific Field
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.3215843052935360,['Directed question that has a single unambiguous answer'],Oncology
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.5525650671243960,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario', 'Request for opinion on a topic']",Oncology
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.46099542971140100,['Summarization of information on a topic'],Oncology
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.5310291111175850,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Oncology
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.21628154052901200,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",General Physician
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.43104881040329500,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",General Physician
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.5017749936156000,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']",General Physician
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.2987861312473740,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General Physician
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.5192593410314770,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",General Physician
What are the main signs of Langerhans cell histiocytosis in children?,0.2048874198989920,['Directed question that has a single unambiguous answer'],Pediatrics
What's the part of the brain related with short term memory?,0.4401581284893570,['Directed question that has a single unambiguous answer'],Clinical Psychologist
According to Freud what is called the most primitive part of the brain?,0.5019982587950270,['Directed question that has a single unambiguous answer'],Clinical Psychologist
Name 3 types of therapies for a patient.,0.0680081481019581,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']",Clinical Psychologist
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.1393973606444250,['Question that describes a hypothetical scenario and asks a question based on this scenario'],midwifery
What is a bacteria?,0.06883138765761730,['Directed question that has a single unambiguous answer'],Biomedical technologist
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.6009758286402700,['Directed question that has a single unambiguous answer'],Biomedical technologist
What diseases are caused by pathogenic bacteria?,0.40754205504498700,['Request for a list of resources where one can find more information'],Biomedical technologist
Which type of hearing loss do you expect an ex miner to have?,0.46006925979911400,['Open-ended question that is potentially ambiguous'],Audiologist
Can patients with unilateral hearing loss benefit from cochlear implant?,0.39563477022103900,['Open-ended question that is potentially ambiguous'],Audiologist
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.35886833744515800,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Audiologist
"With blood having different types of cells, why do you think blood is red?",0.3621060318183600,['Open-ended question that is potentially ambiguous'],Nursing
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.3877902889893060,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Nursing
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.26167388229251300,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Casualty Nurse
