Key,Cosine Similarity,Question Type,Specific Field
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.37939097004100136,['Directed question that has a single unambiguous answer'],Oncology
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.4671817347396304,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario', 'Request for opinion on a topic']",Oncology
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.61975884484917,['Summarization of information on a topic'],Oncology
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.5397016154335498,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Oncology
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.370825843393765,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",General Physician
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.5334371411710044,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",General Physician
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.556874750463373,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']",General Physician
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.3944795742032191,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General Physician
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.5410992144109653,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",General Physician
What are the main signs of Langerhans cell histiocytosis in children?,0.3834290960991707,['Directed question that has a single unambiguous answer'],Pediatrics
What's the part of the brain related with short term memory?,0.5426949739720408,['Directed question that has a single unambiguous answer'],Clinical Psychologist
According to Freud what is called the most primitive part of the brain?,0.6510704047667923,['Directed question that has a single unambiguous answer'],Clinical Psychologist
Name 3 types of therapies for a patient.,0.30491621064909125,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']",Clinical Psychologist
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.34770151996906346,['Question that describes a hypothetical scenario and asks a question based on this scenario'],midwifery
What is a bacteria?,0.1339769799934435,['Directed question that has a single unambiguous answer'],Biomedical technologist
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.5591321162469403,['Directed question that has a single unambiguous answer'],Biomedical technologist
What diseases are caused by pathogenic bacteria?,0.3350375130261935,['Request for a list of resources where one can find more information'],Biomedical technologist
Which type of hearing loss do you expect an ex miner to have?,0.4719797181821396,['Open-ended question that is potentially ambiguous'],Audiologist
Can patients with unilateral hearing loss benefit from cochlear implant?,0.3542144751924934,['Open-ended question that is potentially ambiguous'],Audiologist
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.24900190609754602,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Audiologist
"With blood having different types of cells, why do you think blood is red?",0.7482575472271847,['Open-ended question that is potentially ambiguous'],Nursing
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.5570088638288013,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Nursing
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.3589755202209991,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Casualty Nurse
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.2603743318051408,['Directed question that has a single unambiguous answer'],Intensive Care
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.3963489860430895,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Intensive Care
What is your opinion for Advanced Nurses Practitioner In ICU?,0.46788634424781,['Request for opinion on a topic'],Intensive Care
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.3881132016111243,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']","Biomedical Research, Nursing"
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.7411694233198577,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']","Biomedical Research, Nursing"
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.4783776549760279,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']","Biomedical Research, Nursing"
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.5753563229818621,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Generalist physician
What findings could be appear on the RxTx of the previous patient?,0.21957176976584172,['Open-ended question that is potentially ambiguous'],Generalist physician
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.3179776260361665,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Generalist physician
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.4158576337510405,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Research scientist
What is the sexually transmitted disease HPV?,0.5168126903180023,['Summarization of information on a topic'],Chemistry in the clinical area
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.4667057133234861,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Chemistry in the clinical area
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.4537421528918782,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Chemistry in the clinical area
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.4662541856474362,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']",Clinical Research
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.5535385478580711,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Clinical Research
What are the most encountered barriers in clinical research related to Bioethics?,0.7243452473466713,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",Clinical Research
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.4467428583370393,['Directed question that has a single unambiguous answer'],Virology
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.365205506105977,['Request for a list of resources where one can find more information'],Virology
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.5645889173330612,['Directed question that has a single unambiguous answer'],Virology
