Key,BERTScore
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.6312034726142883
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.6651332974433899
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.6914616227149963
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.6396914720535278
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.6258111596107483
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.6426409482955933
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.588935375213623
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.5894259810447693
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.6651282906532288
What are the main signs of Langerhans cell histiocytosis in children?,0.5510529279708862
What's the part of the brain related with short term memory?,0.7480198740959167
According to Freud what is called the most primitive part of the brain?,0.7037814855575562
Name 3 types of therapies for a patient.,0.529693603515625
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.5943517684936523
What is a bacteria?,0.5809285640716553
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.6577797532081604
What diseases are caused by pathogenic bacteria?,0.5985540747642517
Which type of hearing loss do you expect an ex miner to have?,0.5059580206871033
Can patients with unilateral hearing loss benefit from cochlear implant?,0.6622840762138367
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.6324267983436584
"With blood having different types of cells, why do you think blood is red?",0.737240731716156
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.7012391686439514
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.6373538374900818
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.46905335783958435
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.5249778032302856
What is your opinion for Advanced Nurses Practitioner In ICU?,0.6388683319091797
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.6149914264678955
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.6931955814361572
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.6380900144577026
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.7261975407600403
What findings could be appear on the RxTx of the previous patient?,0.39661869406700134
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.57525634765625
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.5273755192756653
What is the sexually transmitted disease HPV?,0.6370511651039124
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.6488789319992065
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.5715867877006531
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.6079648733139038
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.5985727906227112
What are the most encountered barriers in clinical research related to Bioethics?,0.6625887751579285
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.6685635447502136
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.48284801840782166
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.6769837737083435
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.6632924675941467
What sign is observed in the barium esophagram in patients with achalasia?,0.7665550708770752
What are the cardinal symptoms of laryngotracheitis?,0.6528796553611755
What is the contraception method of election when a woman can't take estrogen?,0.6814498901367188
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.5929074287414551
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.42026153206825256
"During a squat, if the knees fall inwards which muscle are weak?",0.6736584901809692
If a patient's X ray has dark spots on the chest what does it mean?,0.5205252766609192
Describe treatment methods of congenital Talipes equinovarus.,0.6309884786605835
What are the most common injuries in childhood among Hispanic families?,0.5355770587921143
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.6070298552513123
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.6250851154327393
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.7111911177635193
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.6493929028511047
