Key,Cosine Similarity
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.37939097004100136
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.4671817347396304
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.61975884484917
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.5397016154335498
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.370825843393765
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.5334371411710044
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.556874750463373
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.3944795742032191
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.5410992144109653
What are the main signs of Langerhans cell histiocytosis in children?,0.3834290960991707
What's the part of the brain related with short term memory?,0.5426949739720408
According to Freud what is called the most primitive part of the brain?,0.6510704047667923
Name 3 types of therapies for a patient.,0.30491621064909125
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.34770151996906346
What is a bacteria?,0.1339769799934435
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.5591321162469403
What diseases are caused by pathogenic bacteria?,0.3350375130261935
Which type of hearing loss do you expect an ex miner to have?,0.4719797181821396
Can patients with unilateral hearing loss benefit from cochlear implant?,0.3542144751924934
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.24900190609754602
"With blood having different types of cells, why do you think blood is red?",0.7482575472271847
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.5570088638288013
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.3589755202209991
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.2603743318051408
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.3963489860430895
What is your opinion for Advanced Nurses Practitioner In ICU?,0.46788634424781
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.3881132016111243
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.7411694233198577
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.4783776549760279
