Question,Cosine Similarity
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.3215843052935362
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.5525650671243962
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.46099542971140123
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.5310291111175851
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,0.21628154052901236
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.43104881040329524
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.5017749936155997
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.2987861312473739
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.5192593410314773
What are the main signs of Langerhans cell histiocytosis in children?,0.2048874198989918
What's the part of the brain related with short term memory?,0.4401581284893566
According to Freud what is called the most primitive part of the brain?,0.5019982587950269
Name 3 types of therapies for a patient.,0.0680081481019581
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",0.1393973606444248
What is a bacteria?,0.06883138765761733
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.6009758286402702
What diseases are caused by pathogenic bacteria?,0.40754205504498703
Which type of hearing loss do you expect an ex miner to have?,0.46006925979911395
Can patients with unilateral hearing loss benefit from cochlear implant?,0.39563477022103904
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.35886833744515817
"With blood having different types of cells, why do you think blood is red?",0.3621060318183602
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.3877902889893064
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.26167388229251254
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.376467269458827
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.3445237658938323
What is your opinion for Advanced Nurses Practitioner In ICU?,0.12558650927362622
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.44026942818880344
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.26563226636807696
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.1688932979690015
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.18096162319174924
What findings could be appear on the RxTx of the previous patient?,0.36115600622928196
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.3480304929388546
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.33536142477738046
What is the sexually transmitted disease HPV?,0.2860272055758841
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.34864375499942873
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.4955974986100096
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.2780574533558327
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.41357276605389365
What are the most encountered barriers in clinical research related to Bioethics?,0.40939525883617534
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.3005195107994937
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.10963412282569443
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.5158949232751047
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.4551805876381291
What sign is observed in the barium esophagram in patients with achalasia?,0.5946610276417224
What are the cardinal symptoms of laryngotracheitis?,0.42703395672105315
What is the contraception method of election when a woman can't take estrogen?,0.25214295388487357
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.32194816818609007
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.18740046896179838
"During a squat, if the knees fall inwards which muscle are weak?",0.3063693395348399
If a patient's X ray has dark spots on the chest what does it mean?,0.15451943025479115
Describe treatment methods of congenital Talipes equinovarus.,0.15370848010482047
What are the most common injuries in childhood among Hispanic families?,0.4049405403383554
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.2301480590985241
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.6434968181582575
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.3656926106500713
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.5867484497733746
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.3077223876831209
What kind of advice can I give to a parent with a child with vocal nodules?,0.16953387775628115
What classroom strategies are there for DLD?,0.2970288646822185
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.4448146411958586
What is the diagnostic criteria for Anorexia Nervosa?,0.5137989970885813
What is the evidence base for CBT for depression?,0.267132538997155
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.43070504070123333
What is the condition that is associated with Carhartt’s Notch?,0.22556126142006314
What are the two types of hearing loss?,0.6994210369478147
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.29978866915739755
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.32264056634496385
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.3127197582534749
What is the treatment for blood vessel clogging?,0.4001748849713045
What do you think the future of image guided therapy is?,0.28784559791220415
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.40245344765618074
What is the first step to do in a patient with a VF?,0.40708163908662653
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.36321118672083996
How to treat a patient with 80% of his body with 3rd grade burnings?,0.33069489119851114
