Question,Scaled_Bleu_Score
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.090494685462202
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.09356431248941434
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.06914099641383632
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.051950346831441334
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,1.2656425299526174e-78
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.10858180485278719
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.06970782997133504
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.09341555386482345
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.03562384886392552
What are the main signs of Langerhans cell histiocytosis in children?,5.760078655183272e-79
What's the part of the brain related with short term memory?,0.07500245527905837
According to Freud what is called the most primitive part of the brain?,0.07418210567908987
Name 3 types of therapies for a patient.,0.025692758059883743
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",1.0638581151575014e-231
What is a bacteria?,0.10778793013419438
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.15451817561634215
What diseases are caused by pathogenic bacteria?,0.03678150378061458
Which type of hearing loss do you expect an ex miner to have?,2.5667438380160566e-155
Can patients with unilateral hearing loss benefit from cochlear implant?,0.1497277324249351
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.02403913464595409
"With blood having different types of cells, why do you think blood is red?",0.06655509553196781
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.046443244485016945
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.09192217753794969
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.04097659818647568
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.017374255944219517
What is your opinion for Advanced Nurses Practitioner In ICU?,0.032965262432030434
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.12567835575909
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.07171434967673611
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.04152239706550472
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.15484345441237773
What findings could be appear on the RxTx of the previous patient?,0.1210528974974056
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.0297029968364944
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.08123243052877709
What is the sexually transmitted disease HPV?,0.06105601275793219
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.0601984349586085
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.031328392313001704
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.05356779886875004
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",1.129160613258969e-78
What are the most encountered barriers in clinical research related to Bioethics?,0.04706287784978007
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.10758706901123509
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,4.244711352009265e-155
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.10594581971373133
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.21557567915793258
What sign is observed in the barium esophagram in patients with achalasia?,0.10226958237053538
What are the cardinal symptoms of laryngotracheitis?,0.04660689419775137
What is the contraception method of election when a woman can't take estrogen?,0.06223985617882701
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",8.120546156106983e-232
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",1.8682448376628916e-155
"During a squat, if the knees fall inwards which muscle are weak?",0.04599015568502657
If a patient's X ray has dark spots on the chest what does it mean?,9.664771739302323e-79
Describe treatment methods of congenital Talipes equinovarus.,0.06626592818749599
What are the most common injuries in childhood among Hispanic families?,0.06414352778937887
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.09650124214973403
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.02590437991722214
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.07333201644746788
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.1620600927133058
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",4.678173931403068e-232
What kind of advice can I give to a parent with a child with vocal nodules?,0.08524744650791576
What classroom strategies are there for DLD?,0.03321088863702399
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.04159709671318932
What is the diagnostic criteria for Anorexia Nervosa?,0.0991412567359667
What is the evidence base for CBT for depression?,0.0823289714454865
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.04127104756913927
What is the condition that is associated with Carhartt’s Notch?,8.796377678215576e-232
What are the two types of hearing loss?,0.25717935222942656
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.013275336256654089
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.1192339184635464
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.02163102009267125
What is the treatment for blood vessel clogging?,0.09302035809571998
What do you think the future of image guided therapy is?,0.03898693665287417
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.06990203396321958
What is the first step to do in a patient with a VF?,0.12987293870549732
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.09297704898469489
How to treat a patient with 80% of his body with 3rd grade burnings?,0.0454193835510006
A patient is allergic to the only medication suitable for curing them. What do you do?,9.526732138722306e-79
Do toxic chemicals become more or less toxic when they expire?,0.05921513890830572
What is the interaction between Anaerobyl and Alcohol on the human system?,0.05147915729059904
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",0.05130516978809949
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",0.023835235939348304
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.1642127619717366
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.04999625458349991
How can we reduce patient surgery backlog in Canada?,0.0685053684875435
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.08752497947227877
Is it possible to compound intrathecal methotrexat?,0.05033940070236744
