Key,Value
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.0391754334747657
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.08365248083938898
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.06260152330942378
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.05392247077690135
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,1.3220297815586327e-78
What is the prognosis of a case of triple negative ductal breast carcinoma?,4.296276528728641e-155
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.03556175849478555
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.015509554666572755
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.030246963994593944
What are the main signs of Langerhans cell histiocytosis in children?,5.860291508913624e-79
What's the part of the brain related with short term memory?,0.09536174349817965
According to Freud what is called the most primitive part of the brain?,0.10061818702356029
Name 3 types of therapies for a patient.,8.27449233497142e-232
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",7.511308013574883e-79
What is a bacteria?,1.0647435575512163e-231
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.11001007111013593
What diseases are caused by pathogenic bacteria?,0.12746845861779665
Which type of hearing loss do you expect an ex miner to have?,0.08914120494165166
Can patients with unilateral hearing loss benefit from cochlear implant?,0.1257577078677696
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.034766689932818395
"With blood having different types of cells, why do you think blood is red?",1.1988246272864909e-78
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.020294191511480278
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",7.409517421692701e-79
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.025416786076523888
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.0070752108740335445
What is your opinion for Advanced Nurses Practitioner In ICU?,7.850707993042515e-232
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.05413710858094854
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,2.431085802587668e-155
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.014391269578272747
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",1.4158556732794935e-78
What findings could be appear on the RxTx of the previous patient?,0.05327003793015713
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.026207722580749646
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.05800598217576437
What is the sexually transmitted disease HPV?,0.023710434285847883
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",1.4840107617157197e-155
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.023303003661568823
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.05849505530467326
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",5.155051629402547e-79
What are the most encountered barriers in clinical research related to Bioethics?,2.1946526048431113e-155
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.0467419154974402
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,2.24826218231272e-155
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.0534980581663531
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.08996311859772702
What sign is observed in the barium esophagram in patients with achalasia?,0.08505745744750065
What are the cardinal symptoms of laryngotracheitis?,1.6956611240884456e-78
What is the contraception method of election when a woman can't take estrogen?,0.09372807459072618
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.0831231465746839
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",1.7385977239214729e-155
"During a squat, if the knees fall inwards which muscle are weak?",1.1725008576806803e-78
If a patient's X ray has dark spots on the chest what does it mean?,2.968538645416938e-155
Describe treatment methods of congenital Talipes equinovarus.,2.2143567139814638e-155
What are the most common injuries in childhood among Hispanic families?,0.05537767465245842
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.03146524876055572
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.032684777748464316
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.12078502144760112
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.13483190910660592
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.03400504684997573
What kind of advice can I give to a parent with a child with vocal nodules?,0.022716030927721818
What classroom strategies are there for DLD?,7.099185626007413e-79
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.027929552845497852
What is the diagnostic criteria for Anorexia Nervosa?,0.0703014928354025
What is the evidence base for CBT for depression?,2.4293670564973028e-155
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",3.989694048711113e-79
What is the condition that is associated with Carhartt’s Notch?,3.819799222444228e-155
What are the two types of hearing loss?,0.1241442103285354
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,3.0549174365074e-155
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.07293069984651308
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,2.0965327061283094e-155
What is the treatment for blood vessel clogging?,0.04669365471647537
What do you think the future of image guided therapy is?,6.335214706531845e-79
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,6.937478571054388e-79
What is the first step to do in a patient with a VF?,0.16110445197820242
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.07976829342913137
How to treat a patient with 80% of his body with 3rd grade burnings?,9.621044119339268e-232
A patient is allergic to the only medication suitable for curing them. What do you do?,9.906471930562221e-79
Do toxic chemicals become more or less toxic when they expire?,1.1070464001828264e-78
What is the interaction between Anaerobyl and Alcohol on the human system?,2.297290918626187e-155
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",3.967393089522391e-155
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",6.287254556762128e-232
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.0587039137840004
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.02647869562049602
How can we reduce patient surgery backlog in Canada?,0.03462089331370909
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.06701931114636124
Is it possible to compound intrathecal methotrexat?,0.03190521211372238
"Suppose there is a 3 years old patient with asthma crisis management, history of severe asthma crisis. Is it recomended for them to be hospitalized?",3.743881382418666e-155
What's the best treatment option for an asthma crisis on a pediatric patient?,0.11989544414595107
"Suppose there is a 12 year old with suicide attempted, is it recommendable to do a psychiatrist intervention?",0.031147889349178653
Imagine we have a Patient Reported Outcome questionnaire that measures quality of life and has 3 different dimensions. What would be the best approach to analyzing the item adequacy of this instrument?,7.508411779814862e-79
Imagine we have a patient with a diagnosis of severe depression. What would be the best combination of treatments that could improve his mental health status?,5.209854264376833e-79
How the 3rd generation therapies in psychology an improvement compared to the previous ones?,0.015871516124968763
"56 year old, male patient, rushed to the ER for presenting symptoms such as: tachycardia, diaphoresis, dyspnea, and a strong pain on his chest that irradiates to his chin and left arm. What is the most likely diagnosis and what tests are essential for this patient?",0.16046894541470832
Which drug for cardiac insufficiency is contraindicated in a patient that has kidney failure? ,0.07224920104353108
"67 year old male, refers to present chest pain and dyspnea that appears when he walks 2 or 3 blocks, he has had this symptoms for 3 weeks so far, he has diabetes type 2 that was diagnosed 15 years ago and uses insulin to treat it, but does not follow his schedule and takes it whenever he remembers to, also had AIM 3 years ago. What is the diagnosis for this patient and mention 3 differential diagnosis?",1.2991088734689882e-78
What legislation underpins assessment of children with disabilities for social care support?,0.08007023406819314
How should I engage with a non-verbal child to gather their views?,4.719200235839014e-79
Should buyers of antibiotics also be recommended protective drugs containing bacterial cultures?,0.07801199605800228
Should expectorant or antitussive syrup be recommended for a wet cough?,0.04346869160086305
What can severe pain in the right side of the belly button indicate?,0.07332258866360385
Sickle cells are characteristic from which kind of disease?,0.03167478539346595
"Patient with high level of glucose in fasting conditions but after the screening test does not show increased level of it, could they be considered diabetic?",0.04628852544543312
How can we treat infection caused by Neisseria gonorrhoeae?,0.02664094361367871
"Thinking that we want to design an experiment with 3 groups, in which we observe significant differences, what would be the appropriate number of animals that we need to use?",1.0779102878459099e-78
"In your experience, what are the most appropriate treatments for a patient with sciatic nerve injury?",6.879075414451769e-79
What is your opinion on the spontaneous regeneration of axons in the peripheral nervous system?,0.03090689860722834
Indicate the correct dosage range of ibuprofen for a child of age 9 and 32 kilos.,0.07134989920948745
"A patient has prescribed losartan and bisoprolol to treat their hypertension, however, they have developed an allergy to one of the excipients of bisoprolol. What is the correct course of action to take by the pharmacist?",1.9966923287957924e-78
Design an algorithm of hypertension drugs to help the clinician make the best medication choice according to the patient and their health characteristics.,5.156482258136137e-79
"A counselor has a client who has come to counseling to process a particularly difficult relationship breakdown.  After numerous sessions the counsellor realises that they are counselling both people involved in the relationship breakup, thus there is a conflict of interest. What does the counselor do?",1.5332777658114095e-78
What are the common approaches to coping with periods of acute dis-regulation?,0.061188600498344674
"A client who has a feeling that they have been abused in childhood, has no real memory of the abuse and struggles with emotional dis-regulation in adulthood, cannot form lasting bonds with people, is of a dissorganised attachment style, has come to therapy to work on understanding the abuse they may have experienced in childhood with the hope that this will make them better. What are the steps a therapist must take in providing a secure and safe environment for the client to begin to address their trauma?",0.0752467619070232
Teach me PCR in three sentences.,7.992219124248642e-232
"The prevalence of malaria in Africa is tied to its disease vector control, what are the possible potential options that can be explored in the eradication of malaria in Africa?",0.01907052274325694
"I am a new intern in the blood transfusion laboratory, please write a standard SOP for me for preparing a fresh frozen plasma.",5.829364742104258e-232
Should we inform patients that homeopathic medicines don't work?,2.1572633198735435e-155
Why we do not check exact ingredients of dietary supplements?,0.029531931184713266
Patient comes everyday and buys OTC medicine with an ingredient that is addictive. What can I do?,5.712912358957777e-79
When would you start antibiotic in a acute pharingitis?,2.9840185878460846e-155
What is the first radiological sign of fetal death?,9.622510185648421e-79
What is the initial treatment for anal fissures?,0.051385516119767494
